Red,Green,Blue,Name
32,208,80,limegreen
32,208,96,mediumseagreen
32,208,112,mediumseagreen
32,208,128,mediumseagreen
32,208,144,lightseagreen
32,208,160,lightseagreen
32,208,176,lightseagreen
32,208,192,darkturquoise
32,208,208,darkturquoise
32,208,224,darkturquoise
32,208,240,deepskyblue
32,224,0,lime
32,224,16,limegreen
32,224,32,limegreen
32,224,48,limegreen
32,224,64,limegreen
32,224,80,limegreen
32,224,96,limegreen
32,224,112,springgreen
32,224,128,springgreen
32,224,144,mediumspringgreen
32,224,160,mediumspringgreen
32,224,176,turquoise
32,224,192,turquoise
32,224,208,turquoise
32,224,224,turquoise
32,224,240,turquoise
32,240,0,lime
32,240,16,lime
32,240,32,limegreen
32,240,48,limegreen
32,240,64,limegreen
32,240,80,limegreen
32,240,96,springgreen
32,240,112,springgreen
32,240,128,springgreen
32,240,144,mediumspringgreen
32,240,160,mediumspringgreen
32,240,176,mediumspringgreen
32,240,192,turquoise
32,240,208,turquoise
32,240,224,turquoise
32,240,240,aqua
48,0,0,black
48,0,16,black
48,0,32,black
48,0,48,black
48,0,64,midnightblue
48,0,80,midnightblue
48,0,96,midnightblue
48,0,112,indigo
48,0,128,indigo
48,0,144,indigo
48,0,160,indigo
48,0,176,indigo
48,0,192,mediumblue
48,0,208,mediumblue
48,0,224,mediumblue
48,0,240,blue
48,16,0,black
48,16,16,black
48,16,32,black
48,16,48,midnightblue
48,16,64,midnightblue
48,16,80,midnightblue
48,16,96,midnightblue
48,16,112,midnightblue
48,16,128,midnightblue
48,16,144,indigo
48,16,160,indigo
48,16,176,indigo
48,16,192,mediumblue
48,16,208,mediumblue
48,16,224,mediumblue
48,16,240,blue
48,32,0,black
48,32,16,black
48,32,32,black
48,32,48,darkslategray
48,32,64,darkslategray
48,32,80,midnightblue
48,32,96,midnightblue
48,32,112,midnightblue
48,32,128,midnightblue
48,32,144,darkslateblue
48,32,160,darkslateblue
48,32,176,darkslateblue
48,32,192,mediumblue
48,32,208,mediumblue
48,32,224,mediumblue
48,32,240,blue
48,48,0,black
48,48,16,black
48,48,32,darkslategray
48,48,48,darkslategray
48,48,64,darkslategray
48,48,80,darkslategray
48,48,96,darkslategray
48,48,112,midnightblue
48,48,128,darkslateblue
48,48,144,darkslateblue
48,48,160,darkslateblue
48,48,176,darkslateblue
48,48,192,darkslateblue
48,48,208,royalblue
48,48,224,royalblue
48,48,240,royalblue
48,64,0,darkgreen
48,64,16,darkgreen
48,64,32,darkslategray
48,64,48,darkslategray
48,64,64,darkslategray
48,64,80,darkslategray
48,64,96,darkslategray
48,64,112,darkslateblue
48,64,128,darkslateblue
48,64,144,darkslateblue
48,64,160,darkslateblue
48,64,176,darkslateblue
48,64,192,royalblue
48,64,208,royalblue
48,64,224,royalblue
48,64,240,royalblue
48,80,0,darkgreen
48,80,16,darkgreen
48,80,32,darkslategray
48,80,48,darkslategray
48,80,64,darkslategray
48,80,80,darkslategray
48,80,96,darkslategray
48,80,112,darkslategray
48,80,128,darkslateblue
48,80,144,darkslateblue
48,80,160,darkslateblue
48,80,176,darkslateblue
48,80,192,royalblue
48,80,208,royalblue
48,80,224,royalblue
48,80,240,royalblue
48,96,0,darkgreen
48,96,16,forestgreen
48,96,32,darkolivegreen
48,96,48,darkslategray
48,96,64,darkslategray
48,96,80,darkslategray
48,96,96,darkslategray
48,96,112,darkslategray
48,96,128,darkslateblue
48,96,144,darkslateblue
48,96,160,steelblue
48,96,176,steelblue
48,96,192,royalblue
48,96,208,royalblue
48,96,224,royalblue
48,96,240,royalblue
48,112,0,forestgreen
48,112,16,forestgreen
48,112,32,forestgreen
48,112,48,forestgreen
48,112,64,seagreen
48,112,80,seagreen
48,112,96,seagreen
48,112,112,seagreen
48,112,128,seagreen
48,112,144,steelblue
48,112,160,steelblue
48,112,176,steelblue
48,112,192,steelblue
48,112,208,royalblue
48,112,224,royalblue
48,112,240,royalblue
48,128,0,forestgreen
48,128,16,forestgreen
48,128,32,forestgreen
48,128,48,forestgreen
48,128,64,seagreen
48,128,80,seagreen
48,128,96,seagreen
48,128,112,seagreen
48,128,128,seagreen
48,128,144,steelblue
48,128,160,steelblue
48,128,176,steelblue
48,128,192,steelblue
48,128,208,royalblue
48,128,224,royalblue
48,128,240,dodgerblue
48,144,0,forestgreen
48,144,16,forestgreen
48,144,32,forestgreen
48,144,48,forestgreen
48,144,64,seagreen
48,144,80,seagreen
48,144,96,seagreen
48,144,112,seagreen
48,144,128,mediumseagreen
48,144,144,steelblue
48,144,160,steelblue
48,144,176,steelblue
48,144,192,steelblue
48,144,208,steelblue
48,144,224,dodgerblue
48,144,240,dodgerblue
